0:10,11,22,33,34,46,51,69,73,100
1:4,11,29,50,53,76,86,91,92,94
2:13,28,50,52,62,74,82,86,95,96
3:8,10,13,33,39,43,48,88,90,91
4:3,20,21,27,43,47,68,75,91,100
5:6,10,20,22,24,34,60,70,72,87
6:9,13,22,34,51,58,78,80,88,89
7:24,26,27,29,67,69,73,83,86,100
8:24,28,40,44,60,71,73,74,86,91
9:12,15,18,48,56,63,71,80,82,88
10:3,5,12,15,18,36,43,59,69,76
11:12,14,21,25,37,44,62,78,80,83
12:10,19,24,25,54,58,70,78,86,90
13:9,11,13,15,25,29,39,41,50,54
14:2,17,18,23,28,34,36,72,74,93
15:1,3,15,21,30,31,33,41,42,93
16:11,37,39,49,52,59,60,78,88,98
17:2,17,42,43,65,81,82,84,94,96
18:12,21,29,49,65,66,78,81,89,90
19:2,4,12,56,63,64,74,86,87,99
20:5,10,24,25,49,63,64,82,87,95
21:3,4,19,21,28,37,39,40,71,83
22:11,12,25,33,37,45,48,50,82,83
23:2,7,21,22,29,32,33,37,59,78
24:9,18,19,21,30,31,45,56,65,74
